gene,mean_vst,min_vst,max_vst,min_percentile,mean_percentile,expression_category
Amblyomma-americanum_evm.model.contig-100023-1.1,2.4547067051089875,0.9751886115627172,4.7602725295102974,1,10,always
Amblyomma-americanum_evm.model.contig-100035-1.1,4.034224305061396,2.5729549549631376,6.067164733193034,11,37,always
Amblyomma-americanum_evm.model.contig-100116-1.12,8.931616829597587,7.477668339396752,10.104974309859353,90,96,always
Amblyomma-americanum_evm.model.contig-100116-1.9,3.8361095744089053,2.049406324578517,6.1841111554646355,6,33,always
Amblyomma-americanum_evm.model.contig-100239-1.3,5.067969801317312,3.350065356747317,5.949602772326639,23,59,always
Amblyomma-americanum_evm.model.contig-100263-1.2,5.3749341751260715,2.9772413155881154,6.804014948378794,16,64,always
Amblyomma-americanum_evm.model.contig-10029-1.6,3.5041124905201544,2.0002025179750964,5.433773846630121,6,26,always
Amblyomma-americanum_evm.model.contig-10029-1.8,5.918175378990549,3.9250723501116576,7.767332401488987,35,73,always
Amblyomma-americanum_evm.model.contig-100316-1.5,3.24666130024417,2.826596288739034,3.8034643504245675,14,21,always
Amblyomma-americanum_evm.model.contig-100367-1.7,5.400340472805678,2.84733310535656,7.168890852338067,14,65,always
Amblyomma-americanum_evm.model.contig-100395-1.9,2.8278562167449457,2.140877058487141,4.295232302297538,7,14,always
Amblyomma-americanum_evm.model.contig-100929-1.2,4.131545614236328,2.1279260248366416,5.8550665488280025,7,39,always
Amblyomma-americanum_evm.model.contig-100940-1.3,6.00853647520058,3.756433791630865,7.767543766269547,32,75,always
Amblyomma-americanum_evm.model.contig-101056-1.3,3.1631992430025875,1.5578383780280385,4.47141375804387,3,19,always
Amblyomma-americanum_evm.model.contig-101114-1.1,5.720997853506847,2.7431114855351186,9.309579288005404,13,70,always
Amblyomma-americanum_evm.model.contig-101163-1.3,3.985971833394466,3.4074687949394913,5.278096346242712,24,36,always
Amblyomma-americanum_evm.model.contig-10122-1.4,6.036748130331681,4.730303196433291,6.792052766158649,52,75,always
Amblyomma-americanum_evm.model.contig-101401-1.1,4.473217906921687,3.341584193793143,5.4833164692578675,23,47,always
Amblyomma-americanum_evm.model.contig-101478-1.1,5.17415773510025,4.410417764335109,6.359565152419005,45,61,always
Amblyomma-americanum_evm.model.contig-101482-1.2,3.2936336495640446,2.1201096544371674,4.443514167279375,7,22,always
Amblyomma-americanum_evm.model.contig-101784-1.1,5.817435181609945,4.620525178932517,6.630259388920481,50,72,always
Amblyomma-americanum_evm.model.contig-101784-1.4,5.41219023178297,3.4746398206614986,7.2807755856322025,26,65,always
Amblyomma-americanum_evm.model.contig-101832-1.3,2.645591994278427,0.5674833035386703,5.214708686716767,0,12,always
Amblyomma-americanum_evm.model.contig-10187-1.1,2.9823703308457077,1.9619439067327311,4.886430354072278,5,16,always
Amblyomma-americanum_evm.model.contig-102042-1.2,3.5076552314182607,2.6467130475633422,4.912075137462298,12,26,always
Amblyomma-americanum_evm.model.contig-10217-1.1,5.426704780493953,0.747118514327166,8.646859263867979,0,65,always
Amblyomma-americanum_evm.model.contig-102199-1.4,2.8407686711259372,0.9127835445841684,6.010020328206886,1,14,always
Amblyomma-americanum_evm.model.contig-102208-1.1,2.630441814864922,0.2236957046047497,5.663706283712815,0,12,always
Amblyomma-americanum_evm.model.contig-102208-1.3,3.6795971027791046,2.998786826337682,5.4047799105429535,16,30,always
Amblyomma-americanum_evm.model.contig-102218-1.4,4.738605635640818,3.9857653759539917,5.436510694782071,36,52,always
Amblyomma-americanum_evm.model.contig-102289-1.1,1.4242459688265898,0.1102834374166126,4.17518431859614,0,2,always
Amblyomma-americanum_evm.model.contig-102330-1.2,5.454984635861894,3.9374710165475246,6.977027452357571,35,66,always
Amblyomma-americanum_evm.model.contig-102340-1.3,4.4899570204817945,3.7014914758969084,4.977309239723865,31,47,always
Amblyomma-americanum_evm.model.contig-10253-1.2,4.1451384119669905,3.760588169163015,4.618288558317341,32,40,always
Amblyomma-americanum_evm.model.contig-102720-1.2,3.4234726156974786,2.762382432352244,4.521610809540915,13,25,always
Amblyomma-americanum_evm.model.contig-102859-1.1,6.1938849831864555,5.074977745307224,7.30168819113101,59,78,always
Amblyomma-americanum_evm.model.contig-102859-1.2,5.981535230228194,4.33074973073224,7.236565782193669,44,74,always
Amblyomma-americanum_evm.model.contig-102859-1.4,3.1904205980494322,1.7493755035630245,5.441447354862315,4,20,always
Amblyomma-americanum_evm.model.contig-103199-1.3,3.111019356086649,1.5337003223296832,4.918592349080758,3,18,always
Amblyomma-americanum_evm.model.contig-103589-1.2,4.336917920056553,2.7957485870617123,6.65709175713005,14,44,always
Amblyomma-americanum_evm.model.contig-103589-1.6,2.2401487948456413,1.115874024309677,3.571664933083107,1,7,always
Amblyomma-americanum_evm.model.contig-103745-1.2,3.5917657640745495,2.218769207647852,5.646475413441275,7,28,always
Amblyomma-americanum_evm.model.contig-103844-1.7,3.9000930398814937,3.180645150964243,4.33677722317568,20,34,always
Amblyomma-americanum_evm.model.contig-103880-1.3,7.873441762403946,6.161232396360283,9.540820675852574,77,92,always
Amblyomma-americanum_evm.model.contig-103993-1.2,4.067651864149729,0.7193588317707685,5.832260529224297,0,38,always
Amblyomma-americanum_evm.model.contig-104082-1.1,4.863672565713443,3.8168218805338734,5.936673115314429,33,55,always
Amblyomma-americanum_evm.model.contig-104158-1.1,9.880042767255215,8.977029755111506,11.465216511079687,96,98,always
Amblyomma-americanum_evm.model.contig-10417-1.1,4.912767930710705,4.084517299440357,5.483736574551304,38,56,always
Amblyomma-americanum_evm.model.contig-10418-1.1,3.4769692655394135,2.040838547883662,4.263897700063202,6,26,always
Amblyomma-americanum_evm.model.contig-10445-1.14,4.726632031629376,3.1853911241899264,6.87908498926556,20,52,always
Amblyomma-americanum_evm.model.contig-10445-1.5,4.61890418266584,3.4977168704933086,5.876344862516118,26,50,always
Amblyomma-americanum_evm.model.contig-10445-1.8,9.35982891675346,8.259990820355556,11.097706409023429,94,97,always
Amblyomma-americanum_evm.model.contig-10445-1.9,4.620956356854821,3.737394360261288,5.627428123286299,31,50,always
Amblyomma-americanum_evm.model.contig-104802-1.1,5.9484069059037115,5.3128446364038355,7.008696469515959,63,74,always
evm.TU.contig_10513_1.10,5.316667437506277,3.375970003694713,6.504127008828174,24,63,always
Amblyomma-americanum_evm.model.contig-105242-1.1,4.189277839477629,3.0526067822923695,5.780403438642436,17,41,always
