LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32
LC00	0.0031115279919301784	0.0007871650905572476	0.0026868744944927637	0.0004177372065475447	0.0004953176012000122	0.0029730322012272922	0.0005765229676552453	0.002924851406762817	0.0012839142865149122	0.002362747582272033	0.0007932040668558814	0.0018731088483007832	0.0005277852569478585	0.00019616025008518896	0.0017922393016806342	0.0013370626292009656	0.0003200783465679044	0.00017790218994581577	0.0007514513987557696	2.6711500215283047e-07	0.001511814433253125	0.0016368091376883494	0.0005791521961949782	0.0018443177598354956	0.0004431741816914351	0.0001669708545285856	0.0016131748082092977	0.0017092925104116885	0.0009361107058115239	0.0023165359678645097	0.00381844714619301	0.0002762365149766086	0.0002163652410719812
LC01	0.000747430292918269	0.0014611670198235185	0.0004963556275442276	5.571563861711191e-05	0.0005467261905553244	0.00023345640618692166	3.898266593862497e-05	0.0009349818860093404	0.0007027289019561551	0.0005004874449680317	0.0005196108851363381	0.00021623291548281793	6.595857619566131e-05	3.4218536769914668e-06	0.00021060190240014635	0.00015968001338569342	0.0009048814348044769	0.00020158116159437343	0.0012120573291151376	2.1779566919633753e-06	0.00022574755374546747	0.00023620686061415035	9.865857512924406e-05	0.0003894879987602812	0.0066889358780117605	0.0002070645053276257	0.00017501341204008235	0.0007578512107546203	0.0012592938008209795	0.0002497663490446981	0.0005151504602499331	0.0016577928616095812	0.0008447625383360347
LC02	0.0007068089554406653	0.0003541804367529705	0.10060750643879228	2.0913857825508646e-05	6.619040339224435e-05	0.001498266941337102	4.630220355444558e-05	0.00244737062877199	3.4317595112448304e-05	0.00032660204860413737	0.0004747889096108417	0.0008912692288503434	1.3886348866111029e-05	1.074760077335997e-06	5.179511384887466e-06	0.00014956162611942122	0.00023264697511538986	1.9191193923569903e-05	0.0002095491731940818	0.0	2.9850478117417914e-05	0.00013631626349833062	3.139266899777652e-05	3.77538538574341e-05	4.9973140779791874e-05	8.538136501810018e-05	0.0004775482770209136	0.06820620984630292	0.00013518074307814748	0.0027090405056428256	0.0008372827842255392	4.0176300093419884e-05	0.00012066177008857764
LC03	0.00025747587254779455	9.875341462223453e-05	0.00020756908222079905	0.39739849153435386	7.335767654155885e-05	0.0019612422018348624	0.0007857471333515632	0.00017201037378952627	4.371610293530617e-06	0.01662341522206096	7.851457322551663e-05	0.0010092612907102512	0.01236848359561671	1.1318053269173947e-05	0.0036864932602219246	0.0046216165755598665	0.00027099100420280786	5.815415951972555e-05	0.00612626627787307	0.0	0.001927427215919432	5.781913089211754e-05	0.009842660924061603	0.000110579960368743	0.00015375246005236076	3.0457023060796643e-05	0.0012396246964319073	0.0014478794008947675	0.008532709958631824	0.008371473347767812	0.0033272187588613807	0.012519221949108534	3.232727913948157e-05
LC04	0.00032174549740303474	0.00044362629527163535	0.0001248798915382975	4.0531790563130505e-05	0.019412694230308093	0.00036392037503003914	3.610959447086934e-05	0.0002193345276562837	0.0005789222433993059	0.00036626959819841177	4.022026561009612e-05	0.0001342444688709398	9.0966788004387e-05	6.797413332506041e-06	0.00013381664451206398	0.00015686210273173682	0.0006284480681179211	0.023665489192288836	0.00015146619507867582	0.0	0.0004375456923587612	8.317156386399875e-05	5.733174712931555e-05	0.00010154537011630116	0.0021614491193665633	0.02234693471189418	0.0001491067750842881	5.804409638936984e-05	1.9845010423275626e-05	0.00011843820253100608	0.0002773867310312887	1.6362717518836318e-05	1.5027432570597469e-05
LC05	0.0019091839267270185	0.0002448856806062381	0.0118083307543057	0.0006886722087588714	0.0004850035163483694	0.09165652701792779	0.00020277388589726544	0.009498095245670257	7.019662012655116e-05	0.005426568613267466	0.01017552011795544	0.001584138471727147	0.002830029270662233	1.4332040309504752e-05	0.0004914185281212605	0.0029994424676326845	0.00021471178094699771	0.0009344689585070893	0.001831051848762858	0.0	0.0007268254594530812	0.0005944978502701148	0.0061123780270366645	0.0007777444388588664	0.001715861353759712	0.0005173115277223774	0.0016223778840039967	0.00427423685330559	0.0019070971520384634	0.007212519175815913	0.003437128254759506	0.0006535737732514098	0.0001988625353682586
LC06	0.0007486696228044918	9.463778189037971e-05	0.0008637748956244245	0.005006878835110746	9.666209813685864e-05	0.0015991621238310508	0.26589249909566154	0.00016024876485674778	3.958427873510353e-05	0.0012354301932367149	0.0008882792730618818	0.0028058785654943227	0.00039735776216695144	0.4900269150752737	0.00016450129340364142	0.00043124791186961036	0.00021776592943654555	0.00010979763669301712	0.0018945375860049771	0.0	0.0003121386520030446	0.04164489900520123	0.0005020925726771479	0.0005268798667637263	0.0008856050782423781	7.472461434339191e-05	0.00047987689529822543	0.0014287713531550377	0.0007015060451057894	0.0007510065072199783	0.0009465764709167574	0.002422166378584408	2.530475416497359e-05
LC07	0.000579500096039017	0.00020745834362434314	0.001224577586519118	2.0462061909633825e-06	8.127646179882912e-05	0.00039639752073764706	8.534672344365858e-06	0.3460018807376652	8.712340169714907e-06	8.377961004947133e-05	0.0007589013390980605	0.00023456598742178776	9.372401526456935e-06	0.0	0.0	5.5768346866860733e-05	0.0007402054708557699	1.4164063395620774e-05	5.043295502311896e-05	0.0	4.0993743487022706e-06	8.390929342548696e-06	8.754561779528471e-05	1.681493893485809e-05	6.810549243681254e-05	2.7014151604315537e-05	0.00044749790868115814	0.0009739440464892552	9.736936159308386e-06	0.0006385531873841469	0.003522759113339991	0.00016877725973830652	0.0007187328375623151
LC08	0.002816147981953876	0.0009182437034341733	0.0006543568884944411	9.031375575485004e-06	0.0006584737504373659	0.0004905648865827305	9.519068157505638e-05	7.762580548772137e-05	0.023451692783295966	0.00022885107952696105	2.4555846598159714e-05	0.0005134668307684937	8.367110944130672e-05	1.1700002839806515e-05	1.7319007336210152e-05	0.0001976401210076058	0.00010947432803695212	7.544244454417233e-05	7.484711715177158e-05	0.0	0.0001878910108435866	0.0009773938854842912	1.1572064371757365e-05	0.0002947046776281469	8.301131724040193e-06	4.979592949176564e-05	7.54444273764471e-06	0.00048563389702354124	2.4693965289667608e-06	0.0009818799663961402	0.000768113682871748	2.5349050866319015e-06	4.884330965029066e-05
LC09	0.0012776405501782986	0.00047667397181478283	0.0005840661899979916	0.007457138008708273	0.0005146312433329382	0.005328886538461538	0.00012106819026384244	0.0006547372199049374	0.00017456430508842356	0.049985341633136095	0.00033673582417582417	0.0018961024987751102	0.03191367826671145	6.473584580967131e-06	0.0021022956873789824	0.002368349281092739	0.00014758257382427997	0.00025419493006993005	0.003652038181818182	0.0	0.002082936136532278	0.0002153832216563924	0.021397361783093233	0.0004505156304882332	0.0016427377254324624	0.0001498446674098848	0.0013122043412033511	0.00394234179222839	0.001455019827231592	0.0023299343421605717	0.005454858248110272	0.002048628369795342	0.0001561079798705967
