protid,Entry
AF-P0DPT9-F1-model_v4,P0DPT9
AF-P0DSI3-F1-model_v4,P0DSI3
AF-Q75WH2-F1-model_v4,Q75WH2
AF-B1PZN6-F1-model_v4,B1PZN6
AF-O77256-F1-model_v4,O77256
AF-P60305-F1-model_v4,P60305
AF-P0CD69-F1-model_v4,P0CD69
AF-Q7T046-F1-model_v4,Q7T046
AF-P59262-F1-model_v4,P59262
AF-Q09GJ8-F1-model_v4,Q09GJ8
AF-P0DKP1-F1-model_v4,P0DKP1
AF-Q8AXY1-F1-model_v4,Q8AXY1
AF-Q3SAE5-F1-model_v4,Q3SAE5
AF-A8CG87-F1-model_v4,A8CG87
AF-P0CJ09-F1-model_v4,P0CJ09
AF-X5IFZ1-F1-model_v4,X5IFZ1
AF-P0DQP6-F1-model_v4,P0DQP6
AF-P36985-F1-model_v4,P36985
AF-C0HKD0-F1-model_v4,C0HKD0
AF-P01393-F1-model_v4,P01393
AF-Q2UXR0-F1-model_v4,Q2UXR0
AF-P0CE26-F1-model_v4,P0CE26
AF-Q9BLM2-F1-model_v4,Q9BLM2
AF-P24662-F1-model_v4,P24662
AF-P69746-F1-model_v4,P69746
AF-K4RNX9-F1-model_v4,K4RNX9
AF-P0DPW4-F1-model_v4,P0DPW4
AF-Q8QFW4-F1-model_v4,Q8QFW4
AF-A0A2U8QPE6-F1-model_v4,A0A2U8QPE6
AF-Q1ELU5-F1-model_v4,Q1ELU5
AF-P0C292-F1-model_v4,P0C292
AF-A8S6B3-F1-model_v4,A8S6B3
AF-Q3YEE6-F1-model_v4,Q3YEE6
AF-C0HJC2-F1-model_v4,C0HJC2
AF-B2ZBB6-F1-model_v4,B2ZBB6
AF-A0A3G3C7T9-F1-model_v4,A0A3G3C7T9
AF-Q3SAF8-F1-model_v4,Q3SAF8
AF-P60043-F1-model_v4,P60043
AF-Q7T2Q5-F1-model_v4,Q7T2Q5
AF-P0CE80-F1-model_v4,P0CE80
AF-P60277-F1-model_v4,P60277
AF-P86261-F1-model_v4,P86261
AF-Q68PH4-F1-model_v4,Q68PH4
AF-P83303-F1-model_v4,P83303
AF-B6DD20-F1-model_v4,B6DD20
AF-P61095-F1-model_v4,P61095
AF-C7T186-F1-model_v4,C7T186
AF-B2KPN7-F1-model_v4,B2KPN7
AF-C7DQX8-F1-model_v4,C7DQX8
AF-Q86RQ7-F1-model_v4,Q86RQ7
AF-A7X4L4-F1-model_v4,A7X4L4
AF-D3JYA5-F1-model_v4,D3JYA5
AF-Q5UFR7-F1-model_v4,Q5UFR7
AF-P81662-F1-model_v4,P81662
AF-B6DCX4-F1-model_v4,B6DCX4
AF-B5AJT2-F1-model_v4,B5AJT2
AF-X5IWS1-F1-model_v4,X5IWS1
AF-C7DQB9-F1-model_v4,C7DQB9
AF-I2C090-F1-model_v4,I2C090
AF-B5L5R7-F1-model_v4,B5L5R7
