gene_name,egg_seed_ortholog,egg_evalue,egg_score,eggNOG_OGs,egg_max_annot_lvl,egg_COG_category,egg_Description,egg_Preferred_name,egg_GOs,egg_EC,egg_KEGG_ko,egg_KEGG_Pathway,egg_KEGG_Module,egg_KEGG_Reaction,egg_KEGG_rclass,egg_BRITE,egg_KEGG_TC,egg_CAZy,egg_BiGG_Reaction,egg_PFAMs,KO_pass,KO,KO_thrshld,KO_score,KO_E-value,KO_definition,deepsig_feature,deepsig_start,deepsig_end,deepsig_sp_score,deepsig_sp_evidence,Length,species_name,is_tick,KO_high_score
Amblyomma-sculptum_GEEX01002524.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K02981;K14563;K13199;K12623;K17446,239.87;307.20;227.20;82.50;1603.23,16.8;16.2;10.9;10.9;9.3,0.002;0.0028;0.13;0.18;0.13,small subunit ribosomal protein S2e;rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-];plasminogen activator inhibitor 1 RNA-binding protein;U6 snRNA-associated Sm-like protein LSm4;insulin receptor substrate 4,Signal peptide,1,19,1.0,evidence=ECO:0000256,219,Amblyomma-sculptum,yes,16.8
Amblyomma-sculptum_GEEX01006809.1.p1,106582.XP_004575864.1,1.25e-45,169.0,"COG4826@1|root,KOG2392@2759|Eukaryota,38VR6@33154|Opisthokonta,3BBFJ@33208|Metazoa,3CV81@33213|Bilateria,48177@7711|Chordata,49259@7742|Vertebrata,49W0I@7898|Actinopterygii",7898|Actinopterygii,V,Belongs to the serpin family,-,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K23425;K13963;K13965;K04525;K03982,585.37;429.7;589.47;419.6;490.9,316.1;296.2;262.4;241.7;229.2,3.1e-94;4.0000000000000003e-88;3.9e-78;8.4e-72;5.799999999999999e-68,leukocyte elastase inhibitor;serpin B;serpin B8;serpin A;plasminogen activator inhibitor 1,Signal peptide,1,22,0.99,evidence=ECO:0000256,405,Amblyomma-sculptum,yes,316.1
Amblyomma-sculptum_GEEX01009217.1.p1,497965.Cyan7822_3368,8.09e-21,99.8,"COG4826@1|root,COG4826@2|Bacteria,1G29E@1117|Cyanobacteria,3KFS0@43988|Cyanothece",43988|Cyanothece,O,Belongs to the serpin family,-,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K16643;K13963;K23425;K13965;K03982,549.47;429.7;585.37;589.47;490.9,201.8;197.1;194.1;190.4;168.1,8.6e-60;3.9e-58;2.9e-57;2.8e-56;1.9e-49,glia-derived nexin;serpin B;leukocyte elastase inhibitor;serpin B8;plasminogen activator inhibitor 1,Signal peptide,1,18,0.94,evidence=ECO:0000256,299,Amblyomma-sculptum,yes,201.8
Amblyomma-sculptum_GEEX01011976.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K04525;K23425;K13965;K13963;K03982,419.6;585.37;589.47;429.7;490.9,73.6;63.4;60.8;56.9;49.2,6.5e-21;1.1e-17;5.8e-17;1.1e-15;2.1e-13,serpin A;leukocyte elastase inhibitor;serpin B8;serpin B;plasminogen activator inhibitor 1,Signal peptide,1,16,1.0,evidence=ECO:0000256,117,Amblyomma-sculptum,yes,73.6
Amblyomma-sculptum_GEEX01001555.1.p1,126957.SMAR003048-PA,3.16e-46,164.0,"COG4826@1|root,KOG2392@2759|Eukaryota,38VR6@33154|Opisthokonta,3BBFJ@33208|Metazoa,3CV81@33213|Bilateria,41YNT@6656|Arthropoda",6656|Arthropoda,V,Belongs to the serpin family,-,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K23425;K13963;K13966;K19821;K04525,585.37;429.70;588.17;598.97;419.60,240.9;236.2;231.1;203.5;202.7,1.9e-71;5.5e-70;1.7e-68;3e-60;5.4e-60,leukocyte elastase inhibitor;serpin B;serpin B11/12;plasminogen activator inhibitor 2;serpin A,Chain,1,215,.,evidence=ECO:0000256,215,Amblyomma-sculptum,yes,240.9
Amblyomma-sculptum_GEEX01004522.1.p1,6669.EFX80179,4.22e-28,124.0,"KOG2945@1|root,KOG2945@2759|Eukaryota,38FFW@33154|Opisthokonta,3BEJZ@33208|Metazoa,3CXCU@33213|Bilateria,41ZK4@6656|Arthropoda",6656|Arthropoda,S,heterochromatin organization,-,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005700,GO:0005701,GO:0005703,GO:0005737,GO:0006325,GO:0006355,GO:0006464,GO:0006479,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0008213,GO:0009889,GO:0009892,GO:0009987,GO:0010369,GO:0010468,GO:0010556,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0016246,GO:0016441,GO:0016442,GO:0016458,GO:0016569,GO:0016570,GO:0016571,GO:0018022,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019538,GO:0031047,GO:0031323,GO:0031326,GO:0031332,GO:0031935,GO:0032259,GO:0032991,GO:0033043,GO:0033044,GO:0034968,GO:0035194,GO:0036211,GO:0040029,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0048519,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0051276,GO:0051567,GO:0060255,GO:0060968,GO:0061647,GO:0065007,GO:0070828,GO:0071704,GO:0071840,GO:0080090,GO:0097159,GO:0098687,GO:1901363,GO:1901564,GO:1902275,GO:1903506,GO:1990904,GO:2000112,GO:2001141",-,ko:K13199,-,-,-,-,"ko00000,ko03041",-,-,-,"HABP4_PAI-RBP1,IHABP4_N",nan;nan;nan;nan;nan,K13199;K19019;K11845;K09656;K11657,227.2;354.6;608.57;1338.13;262.37,204.5;134.1;18.3;14.9;11.6,2.8e-60;4.9e-39;0.00048;0.0032;0.021,"plasminogen activator inhibitor 1 RNA-binding protein;intracellular hyaluronan-binding protein 4;ubiquitin carboxyl-terminal hydrolase 17 [EC:3.4.19.12];beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244];remodeling and spacing factor 1",Chain,1,426,.,evidence=ECO:0000256,426,Amblyomma-sculptum,yes,204.5
Amblyomma-sculptum_GEEX01007095.1.p1,9668.ENSMPUP00000016487,3.37e-24,102.0,"COG4826@1|root,KOG2392@2759|Eukaryota,38F2M@33154|Opisthokonta,3BG90@33208|Metazoa,3D4IV@33213|Bilateria,48B40@7711|Chordata,499AM@7742|Vertebrata,3J3P2@40674|Mammalia,3EEMX@33554|Carnivora",33554|Carnivora,V,"Serpin peptidase inhibitor, clade B (ovalbumin), member 10",SERPINB10,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K13963;K23425;K13966;K13965;K19821,429.7;585.37;588.17;589.47;598.97,131.6;119.0;117.1;117.1;101.7,2.6e-38;1.6e-34;5.6e-34;4.9000000000000005e-34;2.3e-29,serpin B;leukocyte elastase inhibitor;serpin B11/12;serpin B8;plasminogen activator inhibitor 2,Chain,1,101,.,evidence=ECO:0000256,101,Amblyomma-sculptum,yes,131.6
Amblyomma-sculptum_GEEX01007223.1.p1,313606.M23134_04260,1.29e-16,81.6,"COG4826@1|root,COG4826@2|Bacteria,4NG1G@976|Bacteroidetes,47N0P@768503|Cytophagia",768503|Cytophagia,O,proteinase inhibitor I4 serpin,-,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K13966;K16643;K13963;K04525;K19821,588.17;549.47;429.7;419.6;598.97,125.4;118.8;117.5;113.8;109.0,1.8e-36;1.3e-34;4.7e-34;4.4e-33;1.5e-31,serpin B11/12;glia-derived nexin;serpin B;serpin A;plasminogen activator inhibitor 2,Chain,1,117,.,evidence=ECO:0000256,117,Amblyomma-sculptum,yes,125.4
Amblyomma-sculptum_GEEX01007763.1.p2,9668.ENSMPUP00000016487,3.62e-26,107.0,"COG4826@1|root,KOG2392@2759|Eukaryota,38F2M@33154|Opisthokonta,3BG90@33208|Metazoa,3D4IV@33213|Bilateria,48B40@7711|Chordata,499AM@7742|Vertebrata,3J3P2@40674|Mammalia,3EEMX@33554|Carnivora",33554|Carnivora,V,"Serpin peptidase inhibitor, clade B (ovalbumin), member 10",SERPINB10,-,-,ko:K13963,"ko05146,map05146",-,-,-,"ko00000,ko00001",-,-,-,Serpin,nan;nan;nan;nan;nan,K13963;K23425;K13966;K13965;K19821,429.7;585.37;588.17;589.47;598.97,134.3;132.8;132.4;124.3;123.7,4.0000000000000004e-39;1.1e-38;1.3e-38;3.1e-36;5e-36,serpin B;leukocyte elastase inhibitor;serpin B11/12;serpin B8;plasminogen activator inhibitor 2,Chain,1,102,.,evidence=ECO:0000256,102,Amblyomma-sculptum,yes,134.3
Ornithodoros-erraticus_GIXX02008284.1.p1,10029.XP_007611347.1,3.81e-42,159.0,"COG4826@1|root,KOG2392@2759|Eukaryota,38VR6@33154|Opisthokonta,3B998@33208|Metazoa,3E41S@33213|Bilateria,48QRN@7711|Chordata,49MBE@7742|Vertebrata,3JETI@40674|Mammalia,35HQE@314146|Euarchontoglires,4PVFU@9989|Rodentia",9989|Rodentia,V,Serpin B11,Serpinb11,"GO:0003674,GO:0004857,GO:0004866,GO:0004867,GO:0005575,GO:0005576,GO:0005615,GO:0008150,GO:0009892,GO:0010466,GO:0010605,GO:0010951,GO:0019222,GO:0030162,GO:0030234,GO:0030414,GO:0031323,GO:0031324,GO:0032268,GO:0032269,GO:0043086,GO:0044092,GO:0044421,GO:0045861,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051336,GO:0051346,GO:0052547,GO:0052548,GO:0060255,GO:0061134,GO:0061135,GO:0065007,GO:0065009,GO:0080090,GO:0098772",-,ko:K13966,-,-,-,-,ko00000,-,-,-,Serpin,nan;nan;nan;nan;nan,K23425;K13963;K13965;K04525;K03982,585.37;429.7;589.47;419.6;490.9,326.9;318.7;295.6;277.9;266.5,2.6e-97;9.2e-95;5e-88;1.5e-82;4.3e-79,leukocyte elastase inhibitor;serpin B;serpin B8;serpin A;plasminogen activator inhibitor 1,Signal peptide,1,18,0.83,evidence=ECO:0000256,376,Ornithodoros-erraticus,yes,326.9
Ornithodoros-erraticus_GFWV01000134.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K13199;K11294;K19019;K13192;K09291,227.20;175.27;354.60;844.60;151.63,35.4;7.8;6.7;5.0;4.6,8.4e-09;1.2;3.9;6.9;2.6,plasminogen activator inhibitor 1 RNA-binding protein;nucleolin;intracellular hyaluronan-binding protein 4;RNA-binding protein 26;nucleoprotein TPR,Chain,1,202,.,evidence=ECO:0000256,202,Ornithodoros-erraticus,yes,35.4
