Protein_1,Protein_2,pTM,ipTM,Ranking_confidence
Amblyomma-americanum_evm.model.contig-48378-1.17,Q99895,0.87,0.89,0.886
Amblyomma-americanum_evm.model.contig-48378-1.17,P08217,0.87,0.89,0.886
Amblyomma-americanum_evm.model.contig-76089-1.2,Q99895,0.83,0.89,0.878
Amblyomma-americanum_evm.model.contig-48378-1.17,P23946,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9UNI1,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-48378-1.17,P17538,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-48378-1.17,Q6GPI1,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-48378-1.17,P40313,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-234199-1.1,Q99895,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-234199-1.1,P08217,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-234199-1.1,P08218,0.86,0.88,0.876
Amblyomma-americanum_evm.model.contig-234199-1.1,P17538,0.85,0.88,0.874
Amblyomma-americanum_evm.model.contig-234199-1.1,P40313,0.85,0.88,0.874
Amblyomma-americanum_evm.model.contig-76089-1.2,P08217,0.84,0.88,0.872
Amblyomma-americanum_evm.model.contig-76089-1.2,P08218,0.83,0.88,0.87
Amblyomma-americanum_evm.model.contig-48378-1.17,Q92876,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-48378-1.17,P20718,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-48378-1.17,P10144,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-48378-1.17,P08311,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-240510-1.2,P08217,0.77,0.89,0.866
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9UNI1,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-234199-1.1,Q6GPI1,0.85,0.87,0.866
Amblyomma-americanum_evm.model.contig-128153-1.1,P08217,0.84,0.87,0.864
Amblyomma-americanum_evm.model.contig-240510-1.2,Q99895,0.76,0.89,0.864
Amblyomma-americanum_evm.model.contig-234199-1.1,P08311,0.84,0.87,0.864
Amblyomma-americanum_evm.model.contig-76089-1.2,Q6GPI1,0.83,0.87,0.862
Amblyomma-americanum_evm.model.contig-76089-1.2,P40313,0.83,0.87,0.862
Amblyomma-americanum_evm.model.contig-114817-1.1,Q99895,0.74,0.89,0.86
Amblyomma-americanum_evm.model.contig-240510-1.2,P40313,0.78,0.88,0.86
Amblyomma-americanum_evm.model.contig-48378-1.17,P08218,0.86,0.86,0.86
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9UNI1,0.77,0.88,0.858
Amblyomma-americanum_evm.model.contig-48378-1.17,P08861,0.85,0.86,0.858
Amblyomma-americanum_evm.model.contig-114817-1.1,P08217,0.76,0.88,0.856
Amblyomma-americanum_evm.model.contig-240510-1.2,P17538,0.76,0.88,0.856
Amblyomma-americanum_evm.model.contig-240510-1.2,Q6GPI1,0.76,0.88,0.856
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9UKR0,0.84,0.86,0.856
Amblyomma-americanum_evm.model.contig-234199-1.1,P20718,0.84,0.86,0.856
